framework,bandwidth,tflops,precision,m,n,k,time
PALLAS,5.48,0.12,fp32,128,128,128,0.04
JAX,1027.98,701.77,fp32,128,128,128,0.20
custom CUDA GEMM,6.692811,0.142780,fp32,128,128,128,0.029376
cuBLAS GEMM,0.320651,0.006841,fp32,128,128,128,0.613152
cutlass,8.000000,0.170667,fp32,128,128,128,0.024576
Thrust GEMM,10.797891,0.230355,fp32,128,128,128,0.018208
MatX GEMM,2.742857,0.058514,fp32,128,128,128,0.07168
PALLAS,18.93,0.81,fp32,256,256,256,0.04
JAX,858.49,586.06,fp32,256,256,256,0.23
custom CUDA GEMM,18.070589,0.771012,fp32,256,256,256,0.04352
cuBLAS GEMM,1.071130,0.045702,fp32,256,256,256,0.734208
cutlass,21.314831,0.909433,fp32,256,256,256,0.036896
Thrust GEMM,11.636364,0.496485,fp32,256,256,256,0.067584
MatX GEMM,10.413559,0.444312,fp32,256,256,256,0.07552
PALLAS,14.39,1.23,fp32,512,512,512,0.22
JAX,1114.48,760.82,fp32,512,512,512,0.18
custom CUDA GEMM,41.566174,3.546980,fp32,512,512,512,0.07568
cuBLAS GEMM,4.031826,0.344049,fp32,512,512,512,0.780224
cutlass,48.761906,4.161016,fp32,512,512,512,0.064512
Thrust GEMM,4.614562,0.393776,fp32,512,512,512,0.681696
MatX GEMM,25.600000,2.184533,fp32,512,512,512,0.12288
PALLAS,17.18,2.93,fp32,1024,1024,1024,0.73
JAX,174.90,119.40,fp32,1024,1024,1024,1.15
custom CUDA GEMM,30.947268,5.281667,fp32,1024,1024,1024,0.406592
cuBLAS GEMM,11.966766,2.042328,fp32,1024,1024,1024,1.05149
cutlass,41.649822,7.108236,fp32,1024,1024,1024,0.302112
Thrust GEMM,2.005222,0.342225,fp32,1024,1024,1024,6.27507
MatX GEMM,14.338389,2.447085,fp32,1024,1024,1024,0.877568
PALLAS,19.10,6.52,fp32,2048,2048,2048,2.64
JAX,40.58,27.70,fp32,2048,2048,2048,4.96
custom CUDA GEMM,22.233179,7.588925,fp32,2048,2048,2048,2.26381
cuBLAS GEMM,17.165756,5.859245,fp32,2048,2048,2048,2.9321
cutlass,24.154428,8.244712,fp32,2048,2048,2048,2.08374
Thrust GEMM,0.800247,0.273151,fp32,2048,2048,2048,62.8951
MatX GEMM,9.497512,3.241817,fp32,2048,2048,2048,5.29946
PALLAS,17.08,11.66,fp32,4096,4096,4096,11.79
JAX,7.32,5.00,fp32,4096,4096,4096,27.51
custom CUDA GEMM,9.616948,6.565170,fp32,4096,4096,4096,20.9346
cuBLAS GEMM,11.023525,7.525393,fp32,4096,4096,4096,18.2634
cutlass,12.490309,8.526717,fp32,4096,4096,4096,16.1186
Thrust GEMM,0.132192,0.090243,fp32,4096,4096,4096,1522.99
MatX GEMM,8.625427,5.888292,fp32,4096,4096,4096,23.3411
PALLAS,3.83,5.23,fp32,8192,8192,8192,210.18
JAX,0.85,0.58,fp32,8192,8192,8192,236.06
custom CUDA GEMM,3.517966,4.803196,fp32,8192,8192,8192,228.912
cuBLAS GEMM,3.634044,4.961682,fp32,8192,8192,8192,221.601
cutlass,4.214421,5.754089,fp32,8192,8192,8192,191.084
Thrust GEMM,0.035620,0.048634,fp32,8192,8192,8192,22608.1
MatX GEMM,8.481338,11.579852,fp32,8192,8192,8192,94.9504
PALLAS,2.95,8.06,fp32,16384,16384,16384,1091.49
custom CUDA GEMM,1.891320,5.164563,fp32,16384,16384,16384,1703.16
cuBLAS GEMM,1.895576,5.176186,fp32,16384,16384,16384,1699.34
cutlass,1.937760,5.291376,fp32,16384,16384,16384,1662.35
Thrust GEMM,0.015086,0.041194,fp32,16384,16384,16384,213529
